Sol,Solar Radiation
0,426.5
1,429.22830866674025
2,431.9563766768613
3,434.68396339497144
4,437.4108282281327
5,440.13673064708223
6,442.8614302074495
7,445.58468657096444
8,448.30625952665775
9,451.02590901204866
10,453.7433951343206
11,456.45847819148133
12,459.17091869350617
13,461.88047738346324
14,464.58691525861724
15,467.28999359151146
16,469.9894739510251
17,472.6851182234048
18,475.37668863326786
19,478.0639477645759
20,480.74665858157647
21,483.4245844497115
22,486.09748915649016
23,488.76513693232437
24,491.4272924713257
25,494.0837209520606
26,496.73418805826384
27,499.37845999950656
28,502.0163035318184
29,504.6474859782613
30,507.27177524945336
31,509.8889398640407
32,512.4987489691159
33,515.1009723605808
34,517.6953805034522
35,520.2817445521085
36,522.8598363704757
37,525.4294285521505
38,527.9902944404591
39,530.5422081484502
40,533.0849445788197
41,535.6182794437659
42,538.1419892847738
43,540.6558514923246
44,543.1596443255329
45,545.6531469317048
46,548.1361393658192
47,550.6084026099286
48,553.0697185924774
49,555.5198702075386
50,557.9586413339628
51,560.3858168544425
52,562.8011826744869
53,565.2045257413063
54,567.595634062605
55,569.9742967252807
56,572.3403039140289
57,574.6934469298488
58,577.033518208454
59,579.3603113385793
60,581.6736210801893
61,583.9732433825806
62,586.2589754023816
63,588.5306155214445
64,590.787963364629
65,593.0308198174779
66,595.2589870437789
67,597.4722685030167
68,599.6704689677085
69,601.8533945406247
70,604.0208526718915
71,606.1726521759764
72,608.3086032485509
73,610.4285174832332
74,612.5322078882075
75,614.6194889027167
76,616.6901764134315
77,618.7440877706898
78,620.7810418046081
79,622.8008588410619
80,624.8033607175338
81,626.7883707988298
82,628.7557139926585
83,630.7052167650766
84,632.6367071557951
85,634.5500147933479
86,636.4449709101199
87,638.3214083572327
88,640.1791616192895
89,642.0180668289739
90,643.8379617815043
91,645.6386859489421
92,647.4200804943507
93,649.1819882858067
94,650.9242539102596
95,652.6467236872405
96,654.349245682418
97,656.0316697209996
98,657.6938474009787
99,659.3356321062242
100,660.9568790194133
101,662.5574451348057
102,664.137189270857
103,665.6959720826732
104,667.2336560743005
105,668.7501056108545
106,670.2451869304838
107,671.7187681561684
108,673.1707193073531
109,674.600912311412
110,676.0092210149453
111,677.3955211949077
112,678.7596905695654
113,680.1016088092817
114,681.421157547132
115,682.7182203893439
116,683.9926829255637
117,685.2444327389495
118,686.4733594160855
119,687.6793545567227
120,688.8623117833397
121,690.0221267505264
122,691.1586971541876
123,692.2719227405678
124,693.3617053150933
125,694.4279487510341
126,695.4705589979835
127,696.489444090153
128,697.4845141544852
129,698.4556814185806
130,699.4028602184408
131,700.3259670060231
132,701.2249203566116
133,702.0996409759985
134,702.9500517074787
135,703.7760775386557
136,704.5776456080581
137,705.3546852115666
138,706.1071278086504
139,706.834907028413
140,707.5379586754474
141,708.216220735497
142,708.8696333809272
143,709.4981389760021
144,710.101682081968
145,710.680209461944
146,711.2336700856179
147,711.762015133747
148,712.2651980024649
149,712.7431743073918
150,713.1959018875496
151,713.623340809081
152,714.0254533687721
153,714.4022040973774
154,714.7535597627494
155,715.0794893727691
156,715.3799641780803
157,715.6549576746249
158,715.9044456059814
159,716.1284059655043
160,716.3268189982648
161,716.499667202794
162,716.6469353326258
163,716.7686103976432
164,716.8646816652224
165,716.9351406611806
166,716.9799811705232
167,716.9991992379918
168,716.9927931684135
169,716.9607635268501
170,716.9031131385484
171,716.819847088691
172,716.7109727219474
173,716.576499641827
174,716.4164397098308
175,716.2308070444062
176,716.0196180197012
177,715.7828912641198
178,715.5206476586798
179,715.2329103351694
180,714.9197046741085
181,714.5810583025087
182,714.2170010914369
183,713.8275651533806
184,713.412784839415
185,712.9726967361732
186,712.507339662619
187,712.0167546666221
188,711.5009850213391
189,710.9600762213947
190,710.3940759788693
191,709.8030342190909
192,709.1870030762311
193,708.5460368887061
194,707.8801921943841
195,707.189527725598
196,706.4741044039652
197,705.7339853350129
198,704.9692358026132
199,704.1799232632231
200,703.3661173399355
201,702.5278898163374
202,701.6653146301776
203,700.7784678668462
204,699.8674277526619
205,698.9322746479728
206,697.9730910400675
207,696.9899615358995
208,695.982972854624
209,694.9522138199488
210,693.8977753522992
211,692.8197504607983
212,691.7182342350632
213,690.5933238368168
214,689.4451184913178
215,688.2737194786082
216,687.0792301245801
217,685.8617557918608
218,684.6214038705198
219,683.3582837685954
220,682.0725069024454
